num_rules,accuracy
10,0.8360655737704918
20,0.819672131147541
30,0.8524590163934426
40,0.8688524590163934
50,0.8688524590163934
60,0.8688524590163934
70,0.8852459016393442
80,0.8688524590163934
90,0.8852459016393442
100,0.8688524590163934
