rule,normalized_support,coverage,h_value,ch_value,oh_value
cholcp >= 272.5 & agecp >= 37.5,0.6666666666666666,0.22556390977443608,0.47619047619047616,0.10741138560687431,0.31746031746031744
cholcp >= 272.5,0.6666666666666666,0.22556390977443608,0.46875,0.10573308270676691,0.3125
cholcp >= 272.5 & thalcp >= 1.5 & thalachcp >= 110.0 & agecp >= 37.5,0.6666666666666666,0.22556390977443608,0.5454545454545454,0.12303485987696512,0.3636363636363636
cholcp >= 272.5 & thalcp >= 1.5 & thalachcp >= 110.0,0.6666666666666666,0.22556390977443608,0.5357142857142857,0.12083780880773361,0.3571428571428571
cholcp >= 272.5 & thalcp >= 1.5 & agecp >= 37.5,0.6666666666666666,0.22556390977443608,0.4918032786885246,0.1109330703808702,0.32786885245901637
cholcp >= 272.5 & thalcp >= 1.5,0.6666666666666666,0.22556390977443608,0.4838709677419355,0.10914382731021101,0.3225806451612903
cholcp >= 231.5 & comcp >= 0.5 & thalcp >= 1.5 & thalachcp >= 110.0 & agecp >= 37.5,0.6666666666666666,0.40601503759398494,0.782608695652174,0.3177508989865969,0.5217391304347826
cholcp >= 231.5 & comcp >= 0.5 & thalcp >= 1.5 & agecp >= 37.5,0.6666666666666666,0.40601503759398494,0.7605633802816901,0.3088001694376787,0.5070422535211268
cholcp >= 231.5 & comcp >= 0.5 & thalcp >= 1.5 & thalachcp >= 110.0,0.6666666666666666,0.41353383458646614,0.7857142857142857,0.3249194414607948,0.5238095238095237
cholcp >= 231.5 & comcp >= 0.5 & thalcp >= 1.5,0.6666666666666666,0.41353383458646614,0.7638888888888888,0.31589390142021717,0.5092592592592592
cholcp >= 231.5 & comcp >= 0.5 & thalachcp >= 110.0 & agecp >= 37.5,0.6666666666666666,0.41353383458646614,0.7638888888888888,0.31589390142021717,0.5092592592592592
cholcp >= 231.5 & comcp >= 0.5 & agecp >= 37.5,0.6666666666666666,0.41353383458646614,0.7432432432432432,0.30735622840885995,0.49549549549549543
cholcp >= 231.5 & comcp >= 0.5 & thalachcp >= 110.0,0.6666666666666666,0.42105263157894735,0.7671232876712328,0.32299927901946646,0.5114155251141552
cholcp >= 231.5 & comcp >= 0.5,0.6666666666666666,0.42105263157894735,0.7466666666666667,0.3143859649122807,0.49777777777777776
cholcp >= 272.5 & comcp >= 0.5,0.5,0.17293233082706766,0.7419354838709677,0.12830463254911473,0.3709677419354839
trestbpscp >= 129.0 & cholcp >= 231.5 & comcp >= 0.5 & thalachcp >= 110.0,0.5,0.2781954887218045,0.7551020408163265,0.21006598127972992,0.37755102040816324
trestbpscp >= 129.0 & cholcp >= 231.5 & comcp >= 0.5 & agecp >= 37.5,0.5,0.2706766917293233,0.7346938775510204,0.19886450820929877,0.3673469387755102
cholcp >= 272.5 & comcp >= 0.5 & thalachcp >= 110.0 & agecp >= 37.5,0.5,0.17293233082706766,0.7666666666666667,0.13258145363408522,0.38333333333333336
trestbpscp >= 129.0 & cholcp >= 231.5 & comcp >= 0.5 & thalachcp >= 110.0 & agecp >= 37.5,0.5,0.2706766917293233,0.75,0.20300751879699247,0.375
trestbpscp >= 129.0 & cholcp >= 231.5 & comcp >= 0.5,0.5,0.2781954887218045,0.74,0.20586466165413533,0.37
thalachcp >= 160.5 & agecp >= 37.5,0.5,0.45864661654135336,0.7261904761904762,0.3330648048693161,0.3630952380952381
thalachcp >= 160.5,0.5,0.5037593984962406,0.7444444444444445,0.37502088554720137,0.37222222222222223
cholcp >= 272.5 & comcp >= 0.5 & thalcp >= 1.5 & thalachcp >= 110.0 & agecp >= 37.5,0.5,0.17293233082706766,0.7666666666666667,0.13258145363408522,0.38333333333333336
cholcp >= 272.5 & comcp >= 0.5 & thalcp >= 1.5 & thalachcp >= 110.0,0.5,0.17293233082706766,0.7666666666666667,0.13258145363408522,0.38333333333333336
cholcp >= 272.5 & comcp >= 0.5 & thalcp >= 1.5 & agecp >= 37.5,0.5,0.17293233082706766,0.7419354838709677,0.12830463254911473,0.3709677419354839
