rule,normalized_support,coverage,h_value,ch_value,oh_value,normalized_normalized_support
oldpeakcp >= 0.55 & sexcp >= 0.5 & thalcp >= 1.5,0.75,0.5412844036697247,0.7195121951219512,0.3894607294696799,0.5396341463414633,0.022222222222222223
oldpeakcp >= 0.55 & sexcp >= 0.5 & thalcp >= 1.5 & agecp >= 37.5,0.75,0.5321100917431193,0.725,0.3857798165137615,0.54375,0.022222222222222223
oldpeakcp >= 0.55 & sexcp >= 0.5 & thalcp >= 1.5 & thalachcp >= 110.0,0.75,0.4678899082568807,0.6891891891891891,0.3224646665013637,0.5168918918918919,0.022222222222222223
oldpeakcp >= 0.55 & thalcp >= 1.5 & thalachcp >= 110.0,0.75,0.5779816513761468,0.5478260869565217,0.3166334264060629,0.4108695652173912,0.022222222222222223
oldpeakcp >= 0.55 & thalcp >= 1.5 & agecp >= 37.5,0.75,0.6605504587155964,0.5901639344262295,0.389833057602647,0.4426229508196721,0.022222222222222223
oldpeakcp >= 0.55 & thalcp >= 1.5,0.75,0.6697247706422018,0.584,0.3911192660550458,0.4379999999999999,0.022222222222222223
oldpeakcp >= 0.55 & thalachcp >= 110.0 & agecp >= 37.5,0.75,0.6330275229357798,0.5655737704918032,0.3580237629718754,0.4241803278688524,0.022222222222222223
oldpeakcp >= 0.55 & thalachcp >= 110.0,0.75,0.6422018348623854,0.56,0.3596330275229358,0.42,0.022222222222222223
oldpeakcp >= 0.55 & agecp >= 37.5,0.75,0.7431192660550459,0.6044776119402985,0.4491989593317814,0.4533582089552238,0.022222222222222223
oldpeakcp >= 0.55,0.75,0.7522935779816514,0.5985401459854015,0.4502779079890177,0.4489051094890511,0.022222222222222223
agecp >= 56.5 & sexcp >= 0.5 & thalcp >= 1.5 & thalachcp >= 110.0,0.75,0.3669724770642202,0.7272727272727273,0.2668890742285238,0.5454545454545454,0.022222222222222223
oldpeakcp >= 0.55 & sexcp >= 0.5 & thalachcp >= 110.0 & agecp >= 37.5,0.75,0.5229357798165137,0.6951219512195121,0.3635041396285522,0.521341463414634,0.022222222222222223
trestbpscp >= 129.0 & sexcp >= 0.5,0.75,0.3761467889908257,0.5256410256410257,0.1977181839567161,0.3942307692307693,0.022222222222222223
agecp >= 56.5 & thalcp >= 1.5,0.75,0.5688073394495413,0.5961538461538461,0.3390966831333803,0.4471153846153846,0.022222222222222223
agecp >= 56.5 & thalachcp >= 110.0,0.75,0.5412844036697247,0.5728155339805825,0.3100561147234345,0.4296116504854368,0.022222222222222223
agecp >= 56.5 & sexcp >= 0.5,0.75,0.4770642201834862,0.7428571428571429,0.3543905635648755,0.5571428571428572,0.022222222222222223
agecp >= 56.5 & sexcp >= 0.5 & thalachcp >= 110.0,0.75,0.4128440366972477,0.7142857142857143,0.2948885976408912,0.5357142857142857,0.022222222222222223
agecp >= 56.5 & sexcp >= 0.5 & thalcp >= 1.5,0.75,0.4220183486238532,0.7540983606557377,0.3182433448638893,0.5655737704918032,0.022222222222222223
agecp >= 56.5,0.75,0.6238532110091743,0.6017699115044248,0.3754160915807421,0.4513274336283186,0.022222222222222223
agecp >= 56.5 & thalcp >= 1.5 & thalachcp >= 110.0,0.75,0.4954128440366973,0.5684210526315789,0.2816030902945437,0.4263157894736842,0.022222222222222223
trestbpscp >= 129.0 & sexcp >= 0.5 & thalachcp >= 110.0,0.75,0.3211009174311927,0.4861111111111111,0.1560907237512742,0.3645833333333333,0.022222222222222223
oldpeakcp >= 0.55 & sexcp >= 0.5 & thalcp >= 1.5 & thalachcp >= 110.0 & agecp >= 37.5,0.75,0.4587155963302752,0.6944444444444444,0.31855249745158,0.5208333333333333,0.022222222222222223
trestbpscp >= 129.0 & sexcp >= 0.5 & thalachcp >= 110.0 & agecp >= 37.5,0.75,0.3211009174311927,0.5,0.1605504587155963,0.375,0.022222222222222223
trestbpscp >= 129.0 & sexcp >= 0.5 & thalcp >= 1.5,0.75,0.3211009174311927,0.5,0.1605504587155963,0.375,0.022222222222222223
trestbpscp >= 129.0 & sexcp >= 0.5 & thalcp >= 1.5 & agecp >= 37.5,0.75,0.3211009174311927,0.5147058823529411,0.1652725310307609,0.3860294117647058,0.022222222222222223
