metric,num_rules,accuracy
ch_support,10,0.819672131147541
ch_support,20,0.8360655737704918
ch_support,30,0.8524590163934426
ch_support,40,0.8688524590163934
ch_support,50,0.8852459016393442
ch_support,60,0.9016393442622952
ch_support,70,0.8852459016393442
ch_support,80,0.9016393442622952
ch_support,90,0.9016393442622952
ch_support,100,0.9016393442622952
coverage,10,0.5901639344262295
coverage,20,0.7377049180327869
coverage,30,0.7540983606557377
coverage,40,0.7704918032786885
coverage,50,0.7704918032786885
coverage,60,0.8360655737704918
coverage,70,0.8524590163934426
coverage,80,0.8524590163934426
coverage,90,0.8688524590163934
coverage,100,0.8360655737704918
h_support,10,0.2786885245901639
h_support,20,0.3442622950819672
h_support,30,0.3442622950819672
h_support,40,0.3442622950819672
h_support,50,0.3442622950819672
h_support,60,0.3442622950819672
h_support,70,0.3442622950819672
h_support,80,0.360655737704918
h_support,90,0.3770491803278688
h_support,100,0.3934426229508196
normalized_support,10,0.4426229508196721
normalized_support,20,0.5901639344262295
normalized_support,30,0.5901639344262295
normalized_support,40,0.5901639344262295
normalized_support,50,0.6065573770491803
normalized_support,60,0.7213114754098361
normalized_support,70,0.6721311475409836
normalized_support,80,0.639344262295082
normalized_support,90,0.7049180327868853
normalized_support,100,0.7377049180327869
oh_support,10,0.4590163934426229
oh_support,20,0.8032786885245902
oh_support,30,0.8360655737704918
oh_support,40,0.8360655737704918
oh_support,50,0.8360655737704918
oh_support,60,0.8360655737704918
oh_support,70,0.819672131147541
oh_support,80,0.819672131147541
oh_support,90,0.819672131147541
oh_support,100,0.8360655737704918
