metric,num_rules,accuracy
ch_support,10,0.7337662337662337
ch_support,20,0.6883116883116883
ch_support,30,0.6493506493506493
ch_support,40,0.6558441558441559
ch_support,50,0.6623376623376623
ch_support,60,0.6948051948051948
ch_support,70,0.6818181818181818
ch_support,80,0.6688311688311688
ch_support,90,0.6558441558441559
ch_support,100,0.6623376623376623
coverage,10,0.6883116883116883
coverage,20,0.551948051948052
coverage,30,0.5909090909090909
coverage,40,0.564935064935065
coverage,50,0.564935064935065
coverage,60,0.5844155844155844
coverage,70,0.5909090909090909
coverage,80,0.577922077922078
coverage,90,0.5909090909090909
coverage,100,0.5909090909090909
h_support,10,0.6233766233766234
h_support,20,0.6493506493506493
h_support,30,0.6558441558441559
h_support,40,0.6428571428571429
h_support,50,0.6428571428571429
h_support,60,0.6428571428571429
h_support,70,0.6363636363636364
h_support,80,0.6363636363636364
h_support,90,0.6493506493506493
h_support,100,0.6493506493506493
normalized_support,10,0.4285714285714285
normalized_support,20,0.4675324675324675
normalized_support,30,0.474025974025974
normalized_support,40,0.4805194805194805
normalized_support,50,0.4805194805194805
normalized_support,60,0.4675324675324675
normalized_support,70,0.487012987012987
normalized_support,80,0.474025974025974
normalized_support,90,0.4805194805194805
normalized_support,100,0.5
oh_support,10,0.577922077922078
oh_support,20,0.5909090909090909
oh_support,30,0.6493506493506493
oh_support,40,0.6298701298701299
oh_support,50,0.6298701298701299
oh_support,60,0.6168831168831169
oh_support,70,0.6103896103896104
oh_support,80,0.6233766233766234
oh_support,90,0.6103896103896104
oh_support,100,0.6038961038961039
