rule,normalized_support,coverage,h_value,ch_value,oh_value,normalized_normalized_support
sexcp >= 0.5 & agecp >= 37.5 & cholcp < 272.5 & thalachcp < 160.5,0.75,0.4495412844036697,0.6363636363636364,0.2860717264386989,0.4772727272727273,0.01107011070110701
sexcp >= 0.5 & cholcp < 272.5 & thalachcp < 160.5,0.75,0.4587155963302752,0.6410256410256411,0.2940484591860739,0.4807692307692308,0.01107011070110701
sexcp >= 0.5 & thalcp >= 1.5 & thalachcp >= 110.0 & agecp >= 37.5 & cholcp < 272.5,0.75,0.4587155963302752,0.4854368932038835,0.2226774739467355,0.3640776699029126,0.01107011070110701
sexcp >= 0.5 & thalcp >= 1.5 & thalachcp >= 110.0 & cholcp < 272.5,0.75,0.4678899082568807,0.4722222222222222,0.2209480122324159,0.3541666666666666,0.01107011070110701
sexcp >= 0.5 & thalcp >= 1.5 & agecp >= 37.5 & cholcp < 272.5,0.75,0.4954128440366973,0.5046728971962616,0.2500214353082397,0.3785046728971962,0.01107011070110701
sexcp >= 0.5 & thalcp >= 1.5 & cholcp < 272.5,0.75,0.5045871559633027,0.4910714285714285,0.2477883355176933,0.3683035714285714,0.01107011070110701
sexcp >= 0.5 & thalachcp >= 110.0 & agecp >= 37.5 & cholcp < 272.5,0.75,0.5137614678899083,0.495575221238938,0.2546074531135828,0.3716814159292035,0.01107011070110701
sexcp >= 0.5 & thalachcp >= 110.0 & cholcp < 272.5,0.75,0.5229357798165137,0.4830508474576271,0.2526045716062821,0.3622881355932203,0.01107011070110701
sexcp >= 0.5 & agecp >= 37.5 & cholcp < 272.5,0.75,0.5688073394495413,0.5210084033613446,0.2963534037468198,0.3907563025210084,0.01107011070110701
thalcp >= 1.5 & thalachcp >= 110.0 & agecp >= 37.5 & cholcp < 272.5,0.75,0.5596330275229358,0.4013157894736842,0.224589570255915,0.3009868421052631,0.01107011070110701
agecp >= 56.5 & sexcp >= 0.5 & thalcp >= 1.5,0.75,0.4220183486238532,0.7540983606557377,0.3182433448638893,0.5655737704918032,0.01107011070110701
agecp >= 56.5 & sexcp >= 0.5 & thalachcp >= 110.0,0.75,0.4128440366972477,0.7142857142857143,0.2948885976408912,0.5357142857142857,0.01107011070110701
trestbpscp >= 129.0 & sexcp >= 0.5 & thalcp >= 1.5 & thalachcp >= 110.0 & agecp >= 37.5 & thalachcp < 160.5,0.75,0.1926605504587156,0.6363636363636364,0.1226021684737281,0.4772727272727273,0.01107011070110701
trestbpscp >= 129.0 & agecp >= 37.5 & cacp < 0.5,0.75,0.1926605504587156,0.2837837837837837,0.0546739399950409,0.2128378378378378,0.01107011070110701
trestbpscp >= 129.0 & thalachcp >= 110.0 & cacp < 0.5,0.75,0.1926605504587156,0.2727272727272727,0.0525437864887406,0.2045454545454545,0.01107011070110701
trestbpscp >= 129.0 & thalachcp >= 110.0 & agecp >= 37.5 & cacp < 0.5,0.75,0.1926605504587156,0.2837837837837837,0.0546739399950409,0.2128378378378378,0.01107011070110701
sexcp >= 0.5 & agecp >= 37.5 & fbscp < 0.5 & thalachcp < 160.5,0.75,0.5504587155963303,0.7142857142857143,0.3931847968545217,0.5357142857142857,0.01107011070110701
